1,1,0000000000.png,0.010684,,,,,,
2,2,0000000001.png,0.010619,,,,,,
3,3,0000000002.png,0.010679,,,,,,
4,4,0000000003.png,0.010638,,,,,,
5,5,0000000004.png,0.010654,bus,30%,323,217,138,95
6,6,0000000005.png,0.010603,bus,53%,295,211,152,102
7,7,0000000006.png,0.010626,car,36%,293,240,117,79
8,8,0000000007.png,0.010622,,,,,,
9,9,0000000008.png,0.01065,car,42%,228,249,141,85
10, , , ,car,30%,319,244,124,83
11,10,0000000009.png,0.010759,car,47%,199,253,153,85
12,11,0000000010.png,0.010663,car,38%,168,248,176,95
13,12,0000000011.png,0.010644,bus,27%,97,127,295,185
14, , , ,car,30%,331,245,105,74
15,13,0000000012.png,0.010652,car,51%,70,238,227,124
16, , , ,car,57%,299,248,120,72
17,14,0000000013.png,0.010627,car,36%,293,248,97,75
18,15,0000000014.png,0.010628,car,52%,249,247,120,88
19,16,0000000015.png,0.010652,bus,45%,-8,26,326,386
20, , , ,car,67%,237,245,130,89
21,17,0000000016.png,0.010661,car,61%,-1,199,164,193
22, , , ,car,74%,201,247,146,89
23,18,0000000017.png,0.010633,car,36%,5,222,76,151
24, , , ,car,69%,181,253,147,89
25,19,0000000018.png,0.010617,car,66%,107,250,167,103
26, , , ,car,32%,332,253,97,58
27,20,0000000019.png,0.010624,car,83%,39,244,225,127
28, , , ,car,46%,319,257,100,55
29,21,0000000020.png,0.010638,car,61%,22,242,211,135
30, , , ,car,56%,308,256,109,58
31,22,0000000021.png,0.010656,car,38%,14,261,197,132
32, , , ,car,42%,303,257,110,55
33,23,0000000022.png,0.010639,car,64%,18,247,116,167
34, , , ,car,33%,314,257,115,58
35,24,0000000023.png,0.010637,car,53%,-1,254,104,151
36, , , ,car,27%,352,242,81,54
37,25,0000000024.png,0.010653,car,40%,1,246,53,175
38, , , ,car,29%,315,255,98,57
39,26,0000000025.png,0.011282,car,68%,125,262,147,78
40, , , ,car,47%,305,248,106,68
41,27,0000000026.png,0.010746,car,76%,95,264,163,85
42, , , ,car,44%,294,249,111,70
43,28,0000000027.png,0.010665,car,60%,82,270,148,75
44, , , ,car,33%,302,251,109,68
45,29,0000000028.png,0.010673,car,59%,57,266,151,83
46, , , ,car,39%,442,239,97,54
47,30,0000000029.png,0.010687,car,44%,20,269,121,119
48, , , ,car,30%,439,237,103,52
49,31,0000000030.png,0.0107,car,60%,16,268,117,116
50, , , ,car,43%,442,242,102,49
51,32,0000000031.png,0.010671,car,48%,-3,243,85,129
52, , , ,car,30%,444,238,88,50
53,33,0000000032.png,0.010676,car,60%,84,258,146,87
54, , , ,car,43%,431,238,99,49
55,34,0000000033.png,0.010659,car,26%,13,253,80,97
56, , , ,car,44%,421,241,108,48
57,35,0000000034.png,0.010629,car,33%,16,251,96,108
58, , , ,bus,26%,779,210,70,40
59,36,0000000035.png,0.010647,car,38%,4,248,81,114
60, , , ,bus,30%,778,209,67,42
61,37,0000000036.png,0.010633,car,46%,14,269,108,118
62, , , ,bus,30%,772,208,71,44
63,38,0000000037.png,0.010696,car,47%,80,261,133,94
64, , , ,car,32%,414,243,97,48
65,39,0000000038.png,0.010652,car,39%,46,276,153,94
66, , , ,car,48%,353,250,103,59
67,40,0000000039.png,0.010708,car,71%,20,277,118,112
68, , , ,car,30%,432,246,72,42
69,41,0000000040.png,0.010695,car,65%,1,272,104,118
70, , , ,car,56%,314,251,108,63
71,42,0000000041.png,0.010709,car,29%,10,259,74,142
72, , , ,car,59%,302,252,120,63
73,43,0000000042.png,0.010651,car,31%,5,249,225,115
74, , , ,bus,27%,754,207,83,49
75,44,0000000043.png,0.010658,car,51%,6,239,156,183
76, , , ,car,54%,298,252,107,66
77,45,0000000044.png,0.01066,car,49%,15,246,112,166
78, , , ,car,51%,312,252,100,66
79,46,0000000045.png,0.010665,car,48%,2,253,85,156
80, , , ,car,51%,305,253,90,62
81,47,0000000046.png,0.010667,car,69%,184,260,156,82
82, , , ,car,28%,462,242,72,37
83,48,0000000047.png,0.010649,car,54%,123,260,144,89
84, , , ,car,26%,454,240,79,38
85,49,0000000048.png,0.010661,car,41%,115,261,139,85
86, , , ,train,39%,738,206,85,54
87,50,0000000049.png,0.010654,car,62%,80,258,163,99
88, , , ,train,52%,735,203,100,59
89,51,0000000050.png,0.010655,car,29%,22,274,113,106
90, , , ,car,45%,423,247,81,34
91,52,0000000051.png,0.010675,car,64%,15,268,138,121
